family_name,brochure_code,room_type,booking_id,customer_id,booked_date,departure_date,duration,pax,insurance_code,holiday_cost,destination_code
Nevin-S,M,Double,108604,14768,14JAN2014,13OCT2014,7,2,1,"£1,690.88",GX
Heler,D,Family,108705,15358,18OCT2013,28APR2014,12,5,1,"£3,618.90",ZM
Mack,B,Family,108706,15386,07JAN2013,16APR2013,14,5,1,"£4,217.76",XY
Mack,E,Double,108731,15386,07JAN2014,20JUL2014,14,2,1,"£2,673.52",ZT
Trewick,S,Family,108778,15483,20DEC2013,20FEB2014,7,4,1,"£1,691.42",IR
Trewick,V,Family,109002,15483,16DEC2014,02FEB2015,12,5,1,"£5,714.30",IC
Geach,V,Family,109004,15830,06NOV2012,10DEC2012,7,4,0,"£1,692.02",LA
Frost,H,Single,109047,15850,16APR2012,21JUL2012,12,1,1,"£1,158.48",ZK
Hadfield,A,Family,109205,15889,27JAN2015,07APR2015,14,4,0,"£3,368.68",SL
Page,G,Family,109215,16095,01DEC2013,29JAN2014,7,5,0,"£4,209.50",BK
Rickward,U,Dormitory,109250,16103,19DEC2012,21FEB2013,7,9,0,"£3,798.98",WY
Rickward,L,Family,109302,16103,21DEC2013,28MAR2014,7,5,0,"£3,341.52",GW
Pilling,K,Double,109498,16187,04DEC2012,15MAR2013,7,2,1,"£1,350.92",LZ
Greenwood,S,Family,109552,16504,07OCT2013,18DEC2013,14,4,0,"£3,367.54",ZJ
Broadbridge,L,Double,109561,16623,02FEB2013,23FEB2013,14,2,1,"£2,666.04",TG
Dymond,M,Family,109623,16798,19DEC2014,12MAR2015,14,4,0,"£5,324.02",ZG
Gill,S,Double,109653,16804,14OCT2012,30OCT2012,7,2,0,"£1,339.92",VC
Foster,O,Double,109706,16862,15OCT2015,04AUG2016,14,2,1,"£2,673.18",SM
Ruffle,N,Family,109811,16874,25NOV2013,08MAR2014,7,5,0,"£3,333.54",IC
Rogerson,U,Family,109816,16907,11JUN2011,05OCT2011,7,4,0,"£1,683.48",CN
Boatwright,B,Double,109852,16960,07FEB2014,29NOV2014,7,2,1,"£1,337.66",CK
Hembrow,E,Double,109905,16973,13SEP2014,22DEC2014,7,2,0,"£1,345.68",CQ
Love,G,Double,110102,17035,16OCT2012,01JAN2013,3,2,0,£360.84,XH
Astall,B,Double,110264,17118,14SEP2013,26OCT2013,7,2,0,£844.12,LH
Holland,W,Dormitory,110309,17631,30DEC2015,17JUL2016,7,6,1,"£2,539.38",XY
Jupe,K,Family,110371,17706,01JAN2018,06FEB2018,7,4,0,"£2,673.46",AG
Bisdu,Q,Tripple,110405,17927,08FEB2013,01DEC2013,7,3,0,"£1,998.56",PU
Smithers,X,Family,110501,17970,20DEC2012,27JAN2013,14,5,1,"£4,224.54",LH
Clewes,P,Double,110548,18028,18NOV2014,01JAN2015,14,2,1,"£2,669.72",IN
Gammon,A,Single,110654,18082,18OCT2013,27DEC2013,7,1,1,£668.78,KK
Spargo,M,Family,110726,18162,30JAN2014,22APR2014,7,5,0,"£4,210.44",VI
Challand,B,Family,110750,18511,17JUN2013,25MAR2014,7,4,0,"£2,675.98",NS
Hakin,V,Double,110757,18516,03FEB2013,28AUG2013,14,2,1,"£2,671.52",UD
Darwin,J,Family,110824,18536,25DEC2014,05JAN2015,7,4,0,"£2,660.90",CZ
Rising,W,Family,110851,18602,20NOV2014,18FEB2015,14,4,1,"£5,337.20",XI
Cartmell,K,Family,110867,18612,28NOV2014,29JAN2015,7,5,1,"£3,348.70",MW
Paddock,X,Double,110883,18720,28DEC2012,08APR2013,12,2,0,"£2,892.60",AK
Sirett,Y,Tripple,111117,18836,01JUN2012,23JUL2012,7,3,0,"£2,001.34",QG
Cudlip,K,Family,111123,18909,28JAN2015,10NOV2015,7,5,1,"£3,344.68",BU
Heaver,I,Double,111148,19140,03FEB2015,27NOV2015,12,2,1,"£2,891.74",MK
Pitchford,X,Tripple,111158,19318,06JAN2014,23OCT2014,14,3,1,"£5,055.42",LP
Ollershaw,K,Tripple,111174,19392,18AUG2015,07NOV2015,12,3,1,"£3,443.22",UK
Ollershaw,Z,Family,111176,19392,17AUG2015,02OCT2015,7,4,1,"£1,685.18",QT
Hoather,N,Tripple,111200,19424,30JUL2013,20FEB2014,14,3,1,"£4,006.92",CZ
Hoather,N,Double,111293,19424,30JUL2013,30SEP2013,3,2,1,£726.60,MT
Beadle,Z,Family,111329,19429,11OCT2014,21DEC2014,14,4,1,"£5,329.54",NX
Sinnock-S,F,Tripple,111335,19501,16JAN2014,16APR2014,14,3,0,"£3,997.56",VC
Sellwood,V,Double,111422,19602,23JUN2012,08JAN2013,12,2,0,"£2,283.02",ME
Minet,M,Family,111435,19605,03NOV2012,18AUG2013,7,4,0,"£3,364.88",AF
Honeybun,Z,Double,111742,19631,18AUG2012,20OCT2012,7,2,1,"£1,334.82",LT
Honeyfield,E,Single,111745,19643,29JUL2013,18AUG2013,14,1,0,"£1,681.60",EA
Steel,W,Family,111758,20151,24DEC2013,17APR2014,7,4,0,"£2,670.28",DK
Keynes,U,Dormitory,111831,20171,01JAN2019,01FEB2019,14,6,1,"£10,093.44",PN
Tilbrook,R,Dormitory,111918,20239,20NOV2012,22AUG2013,7,6,1,"£4,007.18",QM
Laming,W,Tripple,111985,20361,17JUN2018,16DEC2018,12,3,0,"£3,420.08",XV
Cavell,X,Double,111990,20495,11OCT2014,03MAY2015,7,2,0,"£1,338.70",CR
Freke,O,Double,112019,20552,18JUL2014,07OCT2014,14,2,1,"£2,684.48",UP
Vann,P,Single,112037,20581,26JUL2012,09OCT2012,7,1,0,£665.74,HY
Vann,T,Family,112116,20581,25JUL2014,26APR2015,14,4,0,"£3,377.02",UV
Mortin,O,Dormitory,112129,20641,08DEC2012,18JAN2013,7,9,0,"£7,567.32",YW
Barnett,D,Family,112205,20883,28OCT2017,15JAN2018,7,5,0,"£3,338.36",MW
Baldwin,B,Family,112206,20893,08AUG2019,28NOV2019,14,4,0,"£3,363.74",XH
Ilderton,I,Double,112211,20924,25SEP2014,25DEC2014,12,2,0,"£1,454.74",PL
Tucker,K,Family,112259,20986,06NOV2014,14MAY2015,7,5,1,"£2,112.42",XN
Prodham,N,Family,112287,21056,14JAN2013,03NOV2013,12,4,0,"£4,566.64",ZG
Arscott,H,Single,112331,21071,22DEC2013,26FEB2014,14,1,0,"£1,693.70",NZ
Arscott,U,Family,112405,21071,20DEC2014,09FEB2015,7,4,0,"£2,665.08",CX
Dansey,D,Double,112422,21233,30OCT2017,13AUG2018,12,2,0,"£2,887.34",PN
Yard,O,Tripple,112474,21318,23JUL2013,10OCT2013,12,3,0,"£3,420.44",VE
Ravenshaw,D,Family,112510,21320,21NOV2014,04JUN2015,7,5,1,"£3,339.46",UR
Ravenshaw,L,Dormitory,112564,21320,21NOV2014,05FEB2015,12,6,0,"£6,849.64",UL
Ranby,Z,Double,112672,21421,14MAY2012,03AUG2012,7,2,0,"£1,333.96",ZT
Whitmore,J,Single,112682,21676,02JUN2018,25DEC2018,14,1,0,"£1,692.40",SJ
Hockin,X,Double,112736,21818,25NOV2013,22AUG2014,7,2,0,"£1,343.66",DU
Mabey,K,Double,112780,21875,02DEC2012,13JAN2013,7,2,0,£853.56,XA
Butterfield,W,Tripple,112831,21947,31JAN2014,26MAR2014,7,3,0,"£2,003.10",CC
Butterfield,Q,Double,112840,21947,24JAN2015,29OCT2015,12,2,1,"£2,891.84",MR
Message,U,Family,112976,22092,15JAN2015,29OCT2015,14,5,1,"£6,657.80",ST
Akehurst,X,Family,113006,22208,22OCT2014,09AUG2015,14,5,0,"£8,403.68",CD
Gelsthorpe,E,Tripple,113028,22230,15MAR2017,03OCT2017,3,3,0,"£1,080.68",KE
Hardcastle,W,Double,113081,22287,20JAN2013,04NOV2013,7,2,1,"£1,682.94",LP
Gough,C,Tripple,113194,22357,19DEC2014,31JAN2015,14,3,0,"£3,994.14",CP
Pitchforth,P,Tripple,113208,22365,09OCT2016,27JUL2017,7,3,0,"£1,997.54",XU
Liddell,G,Double,113495,22386,11NOV2014,15AUG2015,7,2,1,"£1,351.30",DU
Ackworth,V,Dormitory,113525,22500,15DEC2013,01MAR2014,14,6,0,"£7,988.20",VE
Allcorn,X,Family,113527,22745,13DEC2012,25FEB2013,7,5,0,"£3,334.90",VC
Uttley,I,Family,113870,22776,03AUG2014,19OCT2014,14,4,0,"£5,335.68",UB
Buckley,Y,Family,113903,23058,25SEP2019,15DEC2019,12,4,0,"£2,882.70",TC
Hasted,G,Double,114067,23237,30DEC2012,11JUL2013,12,2,1,"£2,287.36",UR
Quigley,G,Family,114103,23617,03FEB2015,27MAY2015,12,5,0,"£3,614.18",PL
Hurd,F,Family,114243,23624,27JAN2015,12FEB2015,12,5,0,"£5,702.16",BX
Halsall,F,Double,114253,23705,22OCT2013,25JUL2014,3,2,1,£729.80,CU
Smale,Q,Double,114281,23752,25OCT2014,03AUG2015,7,2,0,"£1,680.90",EC
Whittaker,L,Double,114291,23895,27NOV2013,25DEC2013,12,2,1,"£1,447.52",ZF
Smalridge,I,Family,114320,23958,29DEC2014,30SEP2015,3,4,0,"£1,150.42",AS
Smalridge,F,Family,114405,23958,30DEC2012,15OCT2013,14,5,1,"£6,663.02",PT
Foley,A,Tripple,114535,23990,07DEC2012,29JUN2013,7,3,0,"£2,531.76",CT
Buswell,K,Double,114539,24095,01SEP2013,13JUN2014,7,2,0,£840.30,PA
Tolwith,M,Family,114624,24255,29JUL2019,19FEB2020,14,5,0,"£6,652.34",MP
Garnham,K,Family,114671,24361,06JAN2014,12MAR2014,14,4,1,"£5,330.98",LB
Ide,X,Double,114674,24598,29AUG2014,01DEC2014,14,2,1,"£3,374.76",KG
Causton,G,Dormitory,114791,24662,14JUN2013,21JUL2013,14,6,0,"£7,990.06",LE
Saunders,M,Family,114989,24808,29SEP2013,10JUL2014,7,4,1,"£2,668.22",ST
Cottingham,R,Dormitory,115015,24973,01FEB2013,15NOV2013,7,6,1,"£4,016.24",PR
Footitt,U,Single,115057,25006,05APR2019,08JAN2020,7,1,1,£680.10,QA
Boniface,N,Family,115522,25125,20JUL2018,08OCT2018,14,5,1,"£6,664.18",UL
Staite,J,Family,115623,25453,30JUN2014,14APR2015,7,5,1,"£3,342.88",ST
Beales,Y,Double,115663,26097,06DEC2013,12SEP2014,7,2,1,"£1,355.26",CF
Keeling,P,Family,115701,26352,21JAN2017,08APR2017,7,4,1,"£3,373.14",NT
Lester,C,Double,115752,26360,04FEB2013,19MAY2013,7,2,1,"£1,696.66",CT
Brindle,S,Family,115757,26363,08JAN2018,17MAR2018,14,5,0,"£8,408.28",QS
Cadman,R,Tripple,115836,26368,03FEB2015,06MAR2015,7,3,1,"£1,267.78",JE
Hurren,Z,Family,115838,26408,11DEC2013,13SEP2014,7,5,1,"£3,349.50",RM
Hobson,M,Tripple,115840,26425,04OCT2014,29NOV2014,14,3,1,"£5,064.24",LP
Arthurton,C,Dormitory,115861,26441,11DEC2013,12JUN2014,7,6,0,"£5,040.18",VN
Arthurton,I,Single,116102,26441,11DEC2013,14SEP2014,14,1,0,£846.70,AL
Scoones,P,Family,116136,26520,01OCT2013,07APR2014,7,5,1,"£2,111.80",AW
Vivian,G,Family,116162,26843,22JAN2014,20MAR2014,14,4,0,"£6,732.86",EV
Huggins,D,Single,116277,27034,02JAN2013,26OCT2013,14,1,0,"£1,680.92",IS
Langmead,V,Tripple,116336,27097,13MAY2015,07FEB2016,7,3,1,"£1,277.16",BG
Crang,A,Double,116368,27185,16JUL2018,17APR2019,3,2,1,£367.06,MD
Ball,T,Family,116581,27193,01FEB2014,02NOV2014,14,5,1,"£4,221.50",DL
Bolshaw,W,Double,116652,27378,20SEP2020,30JUN2021,12,2,1,"£2,885.60",PG
Sands,Y,Tripple,116679,27381,09OCT2012,22APR2013,12,3,0,"£2,173.54",ZF
Spratt,F,Double,116708,27694,02FEB2014,16AUG2014,12,2,1,"£1,457.30",SW
Matterson,V,Tripple,116712,27723,03SEP2013,04OCT2013,14,3,0,"£3,990.98",WG
Bickford,J,Double,116735,27744,13JUL2013,22SEP2013,14,2,0,"£2,664.66",CG
Brett,A,Family,116761,27834,01NOV2013,04AUG2014,12,5,0,"£3,612.48",ZE
Bolton,T,Double,116807,27861,08JAN2015,24MAR2015,14,2,0,"£2,671.66",BC
Broomfield,A,Tripple,116936,27983,26JUN2012,03JAN2013,14,3,0,"£3,995.08",CK
Broomfield,X,Family,116953,27983,27JUN2013,05APR2014,14,5,0,"£6,663.76",MU
Woollard,A,Double,117019,28042,21APR2016,01NOV2016,7,2,0,"£1,685.54",TL
Woollard,V,Family,117076,28042,22APR2017,19JUN2017,14,4,0,"£5,330.78",CP
Butters,L,Double,117125,28171,09JAN2015,08OCT2015,7,2,1,"£1,689.82",CD
Wroth,T,Tripple,117141,28181,09NOV2014,20FEB2015,7,3,0,"£1,999.44",KK
Wroth,T,Family,117145,28181,06NOV2013,22AUG2014,14,4,1,"£5,341.94",KF
Theyer,U,Double,117183,28290,06NOV2013,01JAN2014,14,2,0,"£2,677.58",XU
Welburn,Y,Tripple,117187,28296,13OCT2018,13NOV2018,7,3,1,"£2,014.50",XE
Balkwill,N,Family,117241,28424,27DEC2012,06JAN2013,14,5,1,"£6,671.76",SN
Cuber,L,Double,117394,28436,03NOV2012,01JAN2013,7,2,0,£846.12,ZE
Cuber,N,Family,117511,28436,06NOV2013,28JAN2014,7,4,1,"£3,362.70",SZ
Hindle,Q,Family,117599,28555,14JAN2015,29MAR2015,7,4,0,"£3,371.86",SF
Gazzard,K,Single,117611,28595,09JUL2015,25AUG2015,14,1,0,"£1,345.14",CK
Sankey,G,Tripple,117659,29049,30JAN2014,18MAY2014,7,3,0,"£2,001.88",PT
Sankey,V,Double,117816,29049,01FEB2015,27MAY2015,7,2,1,"£1,347.34",TE
Marsham,N,Family,117826,29055,20APR2012,17JAN2013,7,4,1,"£1,689.76",IR
Fensom-E,I,Single,117880,29092,02FEB2014,25APR2014,7,1,0,£665.36,TE
Catterall,K,Family,117902,29152,19MAY2014,23JUL2014,14,4,1,"£5,338.06",UK
Mastin,E,Single,117908,29307,07JAN2015,15OCT2015,14,1,1,"£1,685.80",BB
Gammon,M,Family,117948,29378,17FEB2019,04MAR2019,14,5,1,"£4,214.80",SL
Gammon,Q,Double,117974,29378,13FEB2021,04MAY2021,12,2,0,"£2,281.46",OY
Chapman,B,Family,117978,29608,08JAN2015,30MAR2015,14,5,1,"£6,651.40",ZG
Overhill,F,Family,118136,29609,14JAN2013,22JUL2013,7,5,1,"£3,336.46",VS
Hammersley,E,Tripple,118338,29644,06DEC2014,06SEP2015,7,3,0,"£2,001.68",ZA
Braund,I,Family,118369,29769,04DEC2012,14JUN2013,14,5,0,"£6,656.42",HY
Tanton,N,Double,118382,29842,12OCT2016,20JUL2017,14,2,1,"£1,688.78",LR
Tanton,H,Double,118389,29842,14OCT2018,23DEC2018,7,2,0,"£1,345.52",RO
Wanless,T,Double,118465,30078,18OCT2013,08AUG2014,7,2,0,"£1,696.24",MI
Hinton,K,Single,118538,30104,18DEC2013,20SEP2014,7,1,0,£423.46,XG
Southgate,H,Dormitory,118661,30207,17JAN2015,19APR2015,14,9,1,"£11,989.46",DA
Donald,F,Tripple,118714,30230,10MAY2015,13FEB2016,12,3,0,"£3,429.42",VC
Seal,I,Tripple,118748,30248,28DEC2012,09OCT2013,7,3,0,"£2,009.54",LY
Keats,F,Family,118772,30424,28JUL2020,07MAY2021,14,4,0,"£6,736.50",PK
Brownlow,E,Dormitory,118792,30642,10JAN2015,14MAR2015,14,9,1,"£11,975.30",UY
Brearton,H,Tripple,118983,30702,24JAN2015,22OCT2015,7,3,1,"£2,012.68",LT
Lindley,R,Double,119026,30845,17NOV2014,28FEB2015,7,2,1,£858.60,TH
Quance,M,Single,119033,30852,06JAN2017,30MAR2017,3,1,0,£301.58,PU
